# PCBICEVT.EXE function catalog (474 functions)
# Copyright 1996, Clark Development Company
# BCC 3.1 large model, VMData subsystem
# idx   offset   size  epilogue
   0  +00295     45  33c05dcb
   1  +002C2     51  0c035dcb
   2  +002F5     45  df025dcb
   3  +00322     18  89075dcb
   4  +00334     23  075dcbcb
   5  +0034B     87  5dc20600
   6  +003A2     15  9cff5dcb
   7  +003B1     67  03d65ecb
   8  +003F4     28  5dca0800
   9  +00410     19  57025dcb
  10  +00423     19  57025dcb
  11  +00436     15  8cc25dcb
  12  +00445    385  250f00cb
  13  +005C6     57  5dc20200
  14  +005FF     18  5dc20200
  15  +00611     17  80005dcb
  16  +00622    130  5dc20e00
  17  +006A4     32  5dc20600
  18  +006C4     97  023bc3c3
  19  +00725     47  74fe5dcb
  20  +00754     24  5cfe5dcb
  21  +0076C     24  44fe5dcb
  22  +00784     40  5dc20800
  23  +007AC     27  5dca0600
  24  +007C7    286  5dc21600
  25  +008E5    460  5dc20a00
  26  +00AB1     24  5dc20600
  27  +00AC9     68  8be55dcb
  28  +00B0D     68  8be55dcb
  29  +00B51     21  215e5dcb
  30  +00B66    207  83c40cc3
  31  +00C35     18  6cfe5dcb
  32  +00C47     64  8be55dcb
  33  +00C87     88  8be55dcb
  34  +00CDF     48  4027aac3
  35  +00D0F   1219  0e0e140e
  36  +011D2     37  5dc20400
  37  +011F7    122  5dc20a00
  38  +01271     78  e83c00cb
  39  +012BF    227  263c1ac3
  40  +013A2    545  1e0600c3
  41  +015C3    266  b80400c3
  42  +016CD     10  4606eb09
  43  +016D7    349  b80400c3
  44  +01834      7  33d2eb06
  45  +0183B    122  5f5e5dcb
  46  +018B5    118  5dc20400
  47  +0192B     63  33c05dc3
  48  +0196A    139  8be55dc3
  49  +019F5     86  8be55dcb
  50  +01A4B     86  8be55dcb
  51  +01AA1     41  feea5dcb
  52  +01ACA    161  ff26061b
  53  +01B6B     56  5dc20400
  54  +01BA3     52  5dc20800
  55  +01BD7    202  5dc20a00
  56  +01CA1     60  5dc20a00
  57  +01CDD     85  5dc20800
  58  +01D32     34  5dc20800
  59  +01D54    663  ff268a1a
  60  +01FEB    711  595b58cf
  61  +022B2     33  ff5e5dcb
  62  +022D3    299  8be55dcb
  63  +023FE    148  8be55dcb
  64  +02492     95  2bc240cb
  65  +024F1    117  5f5e5dcb
  66  +02566     17  59595dcb
  67  +02577     29  34e05dcb
  68  +02594     40  00595dcb
  69  +025BC     30  eedf5dcb
  70  +025DA    119  8be55dcb
  71  +02651    205  c05e5dcb
  72  +0271E     51  77de5dcb
  73  +02751     45  4ade5dcb
  74  +0277E     66  8be55dcb
  75  +027C0     28  35e55dcb
  76  +027DC    130  5dc20400
  77  +0285E    128  c05e5dcb
  78  +028DE    224  8be55dcb
  79  +029BE     62  8be55dc3
  80  +029FC    120  5dc20400
  81  +02A74     24  cb580e50
  82  +02A8C    250  ff5959cb
  83  +02B86    112  8be55dcb
  84  +02BF6    132  8be55dcb
  85  +02C7A     40  5f5e5dcb
  86  +02CA2     36  5f5e5dcb
  87  +02CC6     36  aa5f5dcb
  88  +02CEA     31  46065dcb
  89  +02D09     82  5f5e5dcb
  90  +02D5B     33  46065dcb
  91  +02D7C     27  5dc20600
  92  +02D97     18  5dc20200
  93  +02DA9    367  8be55dcb
  94  +02F18     79  8be55dcb
  95  +02F67     27  8fdd5dcb
  96  +02F82     28  c4065dcb
  97  +02F9E    405  005e5dcb
  98  +03133     20  c4065dcb
  99  +03147    515  5dc20a00
 100  +0334A     46  5dc20800
 101  +03378    646  5dc20600
 102  +035FE     40  54fd5dcb
 103  +03626    212  cbe92cff
 104  +036FA     29  ce5f5dcb
 105  +03717    285  5f5e5dcb
 106  +03834     89  5dc20a00
 107  +0388D     96  c638d038
 108  +038ED    502  8e3a313a
 109  +03AE3     42  c4145dcb
 110  +03B0D     64  5dc20a00
 111  +03B4D     34  a2d15dcb
 112  +03B6F     33  81d15dcb
 113  +03B90     63  5f5e5dcb
 114  +03BCF     41  5f5e5dcb
 115  +03BF8     31  485f5dcb
 116  +03C17     49  5f5e5dcb
 117  +03C48    110  5f5e5dcb
 118  +03CB6    199  8be55dcb
 119  +03D7D    298  8be55dcb
 120  +03EA7    516  47025dcb
 121  +040AB    494  8be55dcb
 122  +04299    223  5dc20800
 123  +04378    337  8be55dcb
 124  +044C9     63  cbe970fe
 125  +04508     56  8be55dcb
 126  +04540    672  5dca0400
 127  +047E0     91  8be55dcb
 128  +0483B    160  8be55dcb
 129  +048DB    210  8be55dcb
 130  +049AD     98  5dca0400
 131  +04A0F   1644  5dca0200
 132  +0507B    703  5dca0400
 133  +0533A   1146  8be55dcb
 134  +057B4     19  c4045dcb
 135  +057C7    725  5dca0400
 136  +05A9C     98  8be55dcb
 137  +05AFE     61  5f5e5dcb
 138  +05B3B     16  005e5dcb
 139  +05B4B     44  5f5e5dcb
 140  +05B77     65  5dca0600
 141  +05BB8     68  5dca0800
 142  +05BFC     65  5dca0600
 143  +05C3D    129  5dca0800
 144  +05CBE    120  5dca0800
 145  +05D36    305  5dca0600
 146  +05E67    104  5dca0200
 147  +05ECF     22  f65e5dcb
 148  +05EE5     20  5dca0400
 149  +05EF9     47  5dca0200
 150  +05F28    101  5dca0800
 151  +05F8D     20  5dca0400
 152  +05FA1    154  5dca0200
 153  +0603B     20  5dca0400
 154  +0604F    148  5dca0600
 155  +060E3    195  5dca0400
 156  +061A6     54  5f5e5dcb
 157  +061DC    110  5dca0400
 158  +0624A    483  5dca0a00
 159  +0642D    328  5dca0a00
 160  +06575    355  5dca0a00
 161  +066D8    282  5dca0a00
 162  +067F2     35  5dca0800
 163  +06815    150  5dca0600
 164  +068AB     20  5dca0400
 165  +068BF    103  5dca0800
 166  +06926     20  5dca0400
 167  +0693A     72  5dca0600
 168  +06982    100  5dca0800
 169  +069E6     20  5dca0400
 170  +069FA     34  5f5e5dcb
 171  +06A1C    138  c4045dcb
 172  +06AA6     74  c4065dcb
 173  +06AF0    117  b001cfcf
 174  +06B65     68  5dca0400
 175  +06BA9     73  5dca0200
 176  +06BF2    602  5dca0a00
 177  +06E4C    208  5dca0a00
 178  +06F1C     34  5dca0800
 179  +06F3E     99  8be55dcb
 180  +06FA1     43  5dca0400
 181  +06FCC     32  5dca0a00
 182  +06FEC    200  5dca0800
 183  +070B4    174  5dca0400
 184  +07162    287  5dca0200
 185  +07281    128  8be55dcb
 186  +07301    248  5dca0400
 187  +073F9     52  5dca0a00
 188  +0742D    286  5dca0c00
 189  +0754B     68  5dca0c00
 190  +0758F     49  ab5f5dcb
 191  +075C0    121  5dca0a00
 192  +07639     63  5dca0200
 193  +07678     56  5dca0200
 194  +076B0     84  8be55dcb
 195  +07704     95  5dca0400
 196  +07763     76  5f5e5dcb
 197  +077AF     46  ca020045
 198  +077DD    424  b800aa00
 199  +07985    166  8be55dcb
 200  +07A2B     30  90905dcb
 201  +07A49      5  8bec5dcb
 202  +07A4E     10  cd215dcb
 203  +07A58     18  ba3e5dcb
 204  +07A6A     35  cd2f5dcb
 205  +07A8D     11  c23e5dcb
 206  +07A98     14  be3e5dcb
 207  +07AA6    347  b501b001
 208  +07C01     19  5dca0400
 209  +07C14     94  5dca0a00
 210  +07C72     56  5dca0600
 211  +07CAA     47  5dca0800
 212  +07CD9     59  5dca0a00
 213  +07D14     58  5dca0400
 214  +07D4E     58  5dca0400
 215  +07D88     31  5dca0400
 216  +07DA7     24  cbff5dcb
 217  +07DBF     95  5dca0400
 218  +07E1E     23  b0015dcb
 219  +07E35     13  8ac25dcb
 220  +07E42     13  8ac65dcb
 221  +07E4F     37  5dca0200
 222  +07E74     12  8b075dcb
 223  +07E80     17  5dca0200
 224  +07E91     37  5dca0200
 225  +07EB6    107  8be55dcb
 226  +07F21    160  8be55dcb
 227  +07FC1     31  b0005dcb
 228  +07FE0    107  5dca0600
 229  +0804B     46  5dca0200
 230  +08079     93  5dca0800
 231  +080D6    231  8be55dcb
 232  +081BD     21  e6055dcb
 233  +081D2    548  8be55dcb
 234  +083F6     29  5dca0400
 235  +08413     29  5dca0400
 236  +08430     78  c4045dcb
 237  +0847E     13  5dca0200
 238  +0848B    394  8be55dcb
 239  +08615     20  ed115dcb
 240  +08629     87  8be55dcb
 241  +08680    197  ca0e0045
 242  +08745    874  4dc21000
 243  +08AAF    251  5dca0200
 244  +08BAA    329  ca060045
 245  +08CF3     96  5d4dc345
 246  +08D53     85  5d4dc345
 247  +08DA8    206  5d4dc345
 248  +08E76     66  c2020045
 249  +08EB8    142  c20c0045
 250  +08F46    141  4dc20c00
 251  +08FD3     13  5dca0200
 252  +08FE0     74  5dca0800
 253  +0902A    140  5dca0800
 254  +090B6     72  5dca0400
 255  +090FE     20  e55dcb45
 256  +09112    427  c2060045
 257  +092BD    156  5d4dc345
 258  +09359    118  5d4dc345
 259  +093CF    151  5d4dc345
 260  +09466    117  5d4dc345
 261  +094DB     88  5d4dc345
 262  +09533    162  5d4dc345
 263  +095D5    239  c38cc2c3
 264  +096C4     46  c4045dcb
 265  +096F2     71  5dca0800
 266  +09739    178  5dca0400
 267  +097EB    120  5dca0400
 268  +09863    467  5dca0800
 269  +09A36     14  ca020045
 270  +09A44    266  c2020045
 271  +09B4E    154  c2020045
 272  +09BE8    264  c2020045
 273  +09CF0     68  4dc20400
 274  +09D34    137  5dca0400
 275  +09DBD    136  5dca0200
 276  +09E45    498  5dca0400
 277  +0A037    556  8be55dcb
 278  +0A263    170  5dca0a00
 279  +0A30D    207  5dca0a00
 280  +0A3DC     13  5dca0200
 281  +0A3E9     13  5dca0200
 282  +0A3F6     13  5dca0200
 283  +0A403     16  5dca0400
 284  +0A413      9  005dcb45
 285  +0A41C    276  e55d4dc3
 286  +0A530     23  ca080045
 287  +0A547   1215  c2080045
 288  +0AA06     49  c20a0045
 289  +0AA37    104  4dc20400
 290  +0AA9F     23  ca080045
 291  +0AAB6    131  4dc20800
 292  +0AB39     26  ca0a0045
 293  +0AB53     93  c20a0045
 294  +0ABB0    108  c2060045
 295  +0AC1C    278  e55d4dc3
 296  +0AD32    350  5dca0800
 297  +0AE90    574  ca0c0045
 298  +0B0CE    267  5d4dc345
 299  +0B1D9     54  c2020045
 300  +0B20F    241  5d4dc345
 301  +0B300    305  c20c0045
 302  +0B431    304  4dc20c00
 303  +0B561     33  5dc20600
 304  +0B582     22  5dc20200
 305  +0B598    426  0a283a28
 306  +0B742     10  a3115dcb
 307  +0B74C      8  da155dcb
 308  +0B754    132  5dca0200
 309  +0B7D8     33  33c05dcb
 310  +0B7F9    191  8be55dcb
 311  +0B8B8     97  01005dcb
 312  +0B919     34  5dca0400
 313  +0B93B     38  5dca0a00
 314  +0B961     18  5dca0600
 315  +0B973    280  5dca0400
 316  +0BA8B     87  5dca0a00
 317  +0BAE2     16  5dca0600
 318  +0BAF2    111  5dca0400
 319  +0BB61    186  5dca0a00
 320  +0BC1B     81  5dca0600
 321  +0BC6C     75  5dca0400
 322  +0BCB7     84  5dca0a00
 323  +0BD0B     42  5dca0600
 324  +0BD35     49  5dca0a00
 325  +0BD66     36  5dca0600
 326  +0BD8A     30  5dca0600
 327  +0BDA8    281  5dca0400
 328  +0BEC1     95  5dca0a00
 329  +0BF20     18  5dca0600
 330  +0BF32    187  30ef3045
 331  +0BFED     51  c20e0045
 332  +0C020     51  c20e0045
